-0.313508,-78.8297,-0.217773
-0.391469,-78.7346,-0.237507
-0.485252,-78.6178,-0.240176
-0.626548,-78.4418,-0.239965
-0.791779,-78.2361,-0.239431
-0.963931,-78.022,-0.239154
-1.18919,-77.7419,-0.238853
-1.44504,-77.4238,-0.238244
-1.73249,-77.0662,-0.237612
-2.05025,-76.6708,-0.236324
-2.41916,-76.2118,-0.234419
-2.78212,-75.7605,-0.233261
-3.13878,-75.3168,-0.232706
-3.55294,-74.8016,-0.23087
-3.91883,-74.3464,-0.223983
-4.33659,-73.8266,-0.218471
-4.7399,-73.3248,-0.217163
-5.14844,-72.8164,-0.217957
-5.55304,-72.3129,-0.219183
-5.96293,-71.8029,-0.222405
-6.39015,-71.2715,-0.230957
-6.84452,-70.706,-0.237528
-7.31068,-70.1258,-0.2405
-7.80137,-69.5108,-0.234779
-8.26979,-68.9096,-0.229606
-8.75972,-68.2721,-0.229267
-9.22448,-67.6679,-0.231627
-9.63918,-67.1304,-0.235953
-10.1189,-66.5101,-0.248934
-10.618,-65.8652,-0.259119
-11.1171,-65.22,-0.260374
-11.6114,-64.5845,-0.263922
-12.115,-63.9591,-0.273815
-12.6336,-63.3469,-0.289157
-13.1807,-62.718,-0.302977
-13.7,-62.1198,-0.311316
-14.2476,-61.4901,-0.318003
-14.7716,-60.8897,-0.320904
-15.3083,-60.2788,-0.321899
-15.7769,-59.7596,-0.321428
-16.3177,-59.1897,-0.320922
-16.861,-58.6576,-0.320981
-17.4225,-58.1557,-0.322019
-18.0008,-57.6907,-0.325246
-18.612,-57.248,-0.330896
-19.2307,-56.8338,-0.336338
-19.8612,-56.4293,-0.341667
-20.5515,-55.9896,-0.352955
-21.2248,-55.5592,-0.360168
-21.918,-55.1157,-0.363677
-22.6977,-54.6177,-0.364493
-23.3346,-54.2119,-0.359654
-24.0671,-53.7483,-0.356244
-24.803,-53.2958,-0.35711
-25.5444,-52.8656,-0.360897
-26.291,-52.47,-0.365388
-27.0719,-52.1019,-0.377549
-27.8598,-51.7761,-0.392672
-28.682,-51.4704,-0.406404
-29.5241,-51.1719,-0.424252
-30.3805,-50.8682,-0.442154
-31.2314,-50.5637,-0.455947
-32.1112,-50.2486,-0.463636
-32.9042,-49.9657,-0.465522
-33.7828,-49.6542,-0.471728
-34.6662,-49.3438,-0.479701
-35.5401,-49.0344,-0.483718
-36.4041,-48.7114,-0.484516
-37.2712,-48.3554,-0.484269
-38.0773,-47.9841,-0.482372
-38.8713,-47.5712,-0.480408
-39.6351,-47.1268,-0.479904
-40.434,-46.6245,-0.478064
-41.1747,-46.1431,-0.473877
-41.8184,-45.7108,-0.462098
-42.5298,-45.2049,-0.446918
-43.1853,-44.7009,-0.4362
-43.8224,-44.163,-0.431829
-44.417,-43.6051,-0.431534
-44.9678,-43.0279,-0.435604
-45.4706,-42.4348,-0.436194
-45.9316,-41.8189,-0.43303
-46.343,-41.1937,-0.4282
-46.7087,-40.5564,-0.423491
-47.0192,-39.9301,-0.419707
-47.2931,-39.2864,-0.419885
-47.5523,-38.5917,-0.42642
-47.7601,-37.986,-0.424227
-47.9817,-37.2924,-0.418433
-48.1818,-36.5993,-0.413292
-48.3512,-35.9103,-0.408883
-48.4828,-35.229,-0.403489
-48.5737,-34.5523,-0.397056
-48.6227,-33.8865,-0.394419
-48.6339,-33.2046,-0.39713
-48.6137,-32.4916,-0.407239
-48.571,-31.733,-0.412334
-48.5182,-31.0066,-0.405916
-48.4661,-30.2709,-0.400073
-48.4301,-29.6232,-0.398132
-48.4084,-28.8998,-0.400092
-48.4062,-28.1842,-0.405173
-48.4111,-27.4705,-0.407025
-48.413,-26.7539,-0.406592
-48.411,-26.0135,-0.41002
-48.4082,-25.1826,-0.411614
-48.4074,-24.3874,-0.410857
-48.4078,-23.4824,-0.408133
-48.4079,-22.6254,-0.397076
-48.4135,-21.7577,-0.382458
-48.4372,-20.9058,-0.369796
-48.4819,-20.1475,-0.359587
-48.5526,-19.3186,-0.348819
-48.6401,-18.4046,-0.333631
-48.7166,-17.5869,-0.320447
-48.7822,-16.859,-0.313158
-48.8534,-16.0437,-0.309497
